epoch,train_nll_per_dim,val_nll_per_dim
0,-1.1819502472877503,-1.2907772064208984
1,-1.2360541641712188,-1.3698615431785583
2,-1.3183770775794983,-1.4358705282211304
3,-1.3723015189170837,-1.481422781944275
4,-1.4100724577903747,-1.5163490772247314
5,-1.4431539714336394,-1.5319627523422241
6,-1.4648603916168212,-1.5549222230911255
7,-1.4939630031585693,-1.5850341320037842
8,-1.5211608350276946,-1.596138596534729
9,-1.5452444970607757,-1.6250912547111511
10,-1.5699061691761016,-1.6329010725021362
11,-1.5900035679340363,-1.6481056809425354
12,-1.6068314731121063,-1.6735361814498901
13,-1.6289689004421235,-1.6862523555755615
14,-1.6497896671295167,-1.7030713558197021
15,-1.6689784467220306,-1.7137836813926697
16,-1.687184327840805,-1.736397922039032
17,-1.6939880132675171,-1.7351004481315613
18,-1.712354552745819,-1.7584349513053894
19,-1.7298573315143586,-1.7630575895309448
20,-1.7428126335144043,-1.7797122597694397
21,-1.7589458882808686,-1.7951023578643799
22,-1.7650223791599273,-1.787642478942871
23,-1.7729768633842469,-1.8003280758857727
24,-1.7795674085617066,-1.8070231676101685
25,-1.789077603816986,-1.7995282411575317
26,-1.7943910300731658,-1.8033108115196228
27,-1.8097934424877167,-1.832094430923462
28,-1.8282775640487672,-1.8276792168617249
29,-1.832276886701584,-1.8423265218734741
30,-1.8368719100952149,-1.833333134651184
31,-1.8348825752735138,-1.8421212434768677
32,-1.8549804270267487,-1.8425222635269165
33,-1.856384027004242,-1.858175814151764
34,-1.8615722060203552,-1.8526852130889893
35,-1.8619148135185242,-1.8438003659248352
36,-1.872502964735031,-1.8569458723068237
37,-1.8788296043872834,-1.853652536869049
38,-1.8873614430427552,-1.8646305799484253
39,-1.8921032130718232,-1.8720325827598572
40,-1.903625601530075,-1.8620772957801819
41,-1.9020137071609498,-1.8787853717803955
42,-1.9059976994991303,-1.8696609735488892
43,-1.909720528125763,-1.8703221678733826
44,-1.918544340133667,-1.8805580139160156
45,-1.918606948852539,-1.8519481420516968
46,-1.9130545616149903,-1.8935112953186035
47,-1.9386864304542542,-1.8810784220695496
48,-1.946131032705307,-1.9065649509429932
49,-1.9420372784137725,-1.8891901969909668
50,-1.94054154753685,-1.8896768689155579
51,-1.946571147441864,-1.8915615677833557
52,-1.9505617022514343,-1.8753365874290466
53,-1.952620506286621,-1.9027262330055237
54,-1.9668240189552306,-1.8967676758766174
55,-1.9634096443653106,-1.8749342560768127
56,-1.958155357837677,-1.9002569317817688
57,-1.9601852774620057,-1.8986563086509705
58,-1.9716899335384368,-1.9055148363113403
59,-1.960343998670578,-1.9009684324264526
60,-1.9686295926570891,-1.9136225581169128
61,-1.9848336398601532,-1.9033010601997375
62,-1.9896158635616303,-1.902504026889801
63,-1.9925200879573821,-1.910891592502594
64,-1.9922582626342773,-1.9001997709274292
65,-1.984464907646179,-1.9097712635993958
66,-1.9922709047794342,-1.8968642950057983
67,-1.9934199035167695,-1.9229216575622559
68,-2.004330778121948,-1.9177943468093872
69,-2.0053613007068636,-1.913642406463623
70,-2.0073237240314485,-1.91432785987854
71,-2.0193408131599426,-1.9223042726516724
72,-2.0210862815380097,-1.904351532459259
73,-2.0143862783908846,-1.899429202079773
74,-2.0085925817489625,-1.9034881591796875
75,-2.016791582107544,-1.9174113273620605
76,-2.032955306768417,-1.9242935180664062
77,-2.0373402714729307,-1.9298012256622314
78,-2.034413677453995,-1.9117438793182373
79,-2.026164251565933,-1.8975439667701721
80,-2.0267345011234283,-1.9110093116760254
81,-2.0366279244422913,-1.9101823568344116
82,-2.0391380429267882,-1.9176653027534485
83,-2.0411249101161957,-1.9306621551513672
84,-2.045289146900177,-1.9130531549453735
85,-2.0488234877586367,-1.9109227061271667
86,-2.038428258895874,-1.899379849433899
87,-2.03660671710968,-1.933704137802124
88,-2.0534738838672637,-1.9309303760528564
89,-2.0540203034877775,-1.9374720454216003
90,-2.055460262298584,-1.930194914340973
91,-2.0504312336444857,-1.9216119050979614
92,-2.064889723062515,-1.9199921488761902
93,-2.071360182762146,-1.9325944781303406
94,-2.070713919401169,-1.9014979600906372
95,-2.063733088970184,-1.9226982593536377
96,-2.07114200592041,-1.926271140575409
97,-2.0796494126319884,-1.9190881252288818
98,-2.066057825088501,-1.9205938577651978
99,-2.073737210035324,-1.9124243259429932
100,-2.0761499047279357,-1.921952486038208
101,-2.0837933242321016,-1.9424588680267334
102,-2.097910004854202,-1.9430331587791443
103,-2.088150429725647,-1.9192542433738708
104,-2.091356408596039,-1.937179684638977
105,-2.0937521934509276,-1.9297304153442383
106,-2.0897149324417112,-1.9338282942771912
107,-2.0994677186012267,-1.9302914142608643
108,-2.0989736318588257,-1.9284290075302124
109,-2.1035663723945617,-1.9281042218208313
110,-2.1032752633094787,-1.9301612377166748
111,-2.095690482854843,-1.9153492450714111
112,-2.090204322338104,-1.9399321675300598
113,-2.099243140220642,-1.9272286891937256
114,-2.1117262125015257,-1.931401014328003
115,-2.1100284457206726,-1.9406904578208923
116,-2.103758668899536,-1.9152377843856812
117,-2.1119354248046873,-1.94541734457016
118,-2.1213345527648926,-1.9484530687332153
119,-2.119730532169342,-1.9229086637496948
120,-2.1165412187576296,-1.9221513271331787
121,-2.109700787067413,-1.9368252158164978
122,-2.1168113946914673,-1.9137738347053528
123,-2.116800320148468,-1.9211440086364746
124,-2.1160966634750364,-1.913635492324829
125,-2.1141815543174745,-1.944524884223938
126,-2.138889789581299,-1.9465985298156738
127,-2.1440560460090636,-1.9180099964141846
128,-2.134971868991852,-1.896084487438202
129,-2.120220458507538,-1.937071681022644
130,-2.136849558353424,-1.9429450035095215
131,-2.137738752365112,-1.914257526397705
132,-2.1316502571105955,-1.939179003238678
133,-2.122007155418396,-1.936868131160736
134,-2.1240626096725466,-1.91951322555542
135,-2.1390400528907776,-1.9263497591018677
136,-2.1483621835708617,-1.9168668985366821
137,-2.1431700825691222,-1.9414843916893005
138,-2.141770529747009,-1.9295510649681091
139,-2.14330917596817,-1.9309372901916504
140,-2.151448404788971,-1.9293159246444702
141,-2.1601861238479616,-1.9321222305297852
142,-2.1551102876663206,-1.9349743723869324
143,-2.156167483329773,-1.952056884765625
144,-2.158317482471466,-1.9131397604942322
145,-2.1498254537582397,-1.9348288774490356
146,-2.155473160743713,-1.9291385412216187
147,-2.1678189277648925,-1.9246973991394043
148,-2.166300559043884,-1.9187800884246826
149,-2.165389561653137,-1.935254693031311
150,-2.1664249300956726,-1.9342113733291626
151,-2.1723167181015013,-1.9253073334693909
152,-2.174938476085663,-1.907387912273407
153,-2.1716543674468993,-1.8952417373657227
154,-2.1645257830619813,-1.918799340724945
155,-2.165288817882538,-1.9191517233848572
156,-2.171544539928436,-1.9194566011428833
157,-2.169320249557495,-1.9062424898147583
158,-2.189096689224243,-1.9191040992736816
159,-2.204131078720093,-1.8891282677650452
160,-2.1950278520584106,-1.9186841249465942
161,-2.187431824207306,-1.9240642189979553
162,-2.191131281852722,-1.9303351640701294
163,-2.202477550506592,-1.9128741025924683
164,-2.1990270376205445,-1.9169798493385315
165,-2.1922423958778383,-1.9098188877105713
166,-2.1904780149459837,-1.8980513215065002
167,-2.1886371970176697,-1.9195948839187622
168,-2.19834303855896,-1.9027552604675293
169,-2.198195791244507,-1.8965816497802734
170,-2.1879550933837892,-1.9166722297668457
171,-2.1835179924964905,-1.917150855064392
172,-2.1856954216957094,-1.9053042531013489
173,-2.2064888954162596,-1.9181999564170837
174,-2.2282370805740355,-1.9141676425933838
175,-2.229137432575226,-1.8959354162216187
176,-2.213209128379822,-1.8970710635185242
177,-2.2083678007125855,-1.8945671916007996
178,-2.200913500785828,-1.905630350112915
179,-2.2159929275512695,-1.911769151687622
180,-2.221464288234711,-1.910806655883789
181,-2.2098992705345153,-1.8945291638374329
182,-2.2018171310424806,-1.893394112586975
183,-2.2197537302970884,-1.908477008342743
184,-2.230870079994202,-1.9007094502449036
185,-2.2296022772789,-1.9044908285140991
186,-2.2175129055976868,-1.8790832161903381
187,-2.2109473943710327,-1.9107390642166138
188,-2.227641248703003,-1.8933571577072144
189,-2.2377373456954954,-1.8811525702476501
190,-2.236875557899475,-1.8835419416427612
191,-2.229039716720581,-1.8725718259811401
192,-2.232012677192688,-1.8903719186782837
193,-2.2387536764144897,-1.8851198554039001
194,-2.224287271499634,-1.8797380328178406
195,-2.2135799050331117,-1.8980310559272766
196,-2.231652855873108,-1.8953022360801697
197,-2.245914030075073,-1.9045936465263367
198,-2.248881149291992,-1.8997377753257751
199,-2.245771014690399,-1.8823533654212952
200,-2.236235570907593,-1.8883482813835144
201,-2.2399615168571474,-1.8984323143959045
202,-2.248186993598938,-1.8978484869003296
203,-2.2451989531517027,-1.8941082954406738
204,-2.249178338050842,-1.889072597026825
205,-2.232117438316345,-1.8829106092453003
206,-2.225918412208557,-1.894364058971405
207,-2.241140878200531,-1.908927083015442
208,-2.2623011827468873,-1.8685224652290344
209,-2.2644312500953676,-1.8660784363746643
210,-2.253559708595276,-1.8777563571929932
211,-2.2648067355155943,-1.8874722123146057
212,-2.273414373397827,-1.873827338218689
213,-2.267580044269562,-1.8701793551445007
214,-2.260850119590759,-1.859701693058014
215,-2.2519059658050535,-1.8864210844039917
216,-2.265449035167694,-1.8804587125778198
217,-2.2763750314712525,-1.873138189315796
218,-2.274691915512085,-1.8881512880325317
219,-2.2699249029159545,-1.8803320527076721
220,-2.2670289993286135,-1.866718828678131
221,-2.2655419230461122,-1.8615512251853943
222,-2.2675697207450867,-1.8457478880882263
223,-2.2587801575660706,-1.8428540229797363
224,-2.259846544265747,-1.8524097800254822
225,-2.2778120398521424,-1.845363974571228
226,-2.2776838064193727,-1.8419733047485352
227,-2.2706918239593508,-1.8347304463386536
228,-2.2630995154380797,-1.8586414456367493
229,-2.2710625529289246,-1.8438891172409058
230,-2.272400236129761,-1.8442890048027039
231,-2.2775513172149657,-1.8261898159980774
232,-2.27829931974411,-1.854278564453125
233,-2.2825459241867065,-1.837352216243744
234,-2.2839027881622314,-1.8495163321495056
235,-2.2841461658477784,-1.844942331314087
236,-2.28520028591156,-1.8191972970962524
237,-2.267792117595673,-1.8538578748703003
238,-2.283305597305298,-1.8477563261985779
239,-2.2891698598861696,-1.8165075182914734
240,-2.292798638343811,-1.8111756443977356
241,-2.2832945823669433,-1.8276432156562805
242,-2.286760318279266,-1.8427824974060059
243,-2.286211574077606,-1.845693826675415
244,-2.291016638278961,-1.8344379663467407
245,-2.297053861618042,-1.8128364086151123
246,-2.301823925971985,-1.8232950568199158
247,-2.298787236213684,-1.8029043078422546
248,-2.289195692539215,-1.80301833152771
249,-2.297610104084015,-1.7866098284721375
250,-2.3033873796463014,-1.7935615181922913
251,-2.293647599220276,-1.7716492414474487
252,-2.287640392780304,-1.7983759641647339
253,-2.297665166854858,-1.809941053390503
254,-2.294734227657318,-1.8298920392990112
255,-2.3096759915351868,-1.81007581949234
256,-2.2999595642089843,-1.8139172196388245
257,-2.2991188287734987,-1.8285016417503357
258,-2.304607164859772,-1.8113094568252563
259,-2.3031546115875243,-1.8044785261154175
260,-2.3077983498573302,-1.7891250252723694
261,-2.315624785423279,-1.7961827516555786
262,-2.3119025111198424,-1.7920798659324646
263,-2.3083498954772947,-1.7962566018104553
264,-2.3122982025146483,-1.7903987765312195
265,-2.312017011642456,-1.8002804517745972
266,-2.318289041519165,-1.7762454748153687
267,-2.315262019634247,-1.7953620553016663
268,-2.3100529313087463,-1.793163001537323
269,-2.3135115027427675,-1.7794103622436523
270,-2.3238580346107485,-1.784048080444336
271,-2.327355515956879,-1.7708337306976318
272,-2.3052385687828063,-1.780821681022644
273,-2.311595845222473,-1.7914463877677917
274,-2.3315987467765806,-1.7423368692398071
275,-2.32610228061676,-1.7543025612831116
276,-2.31968070268631,-1.7642293572425842
277,-2.321118938922882,-1.7679513692855835
278,-2.322273814678192,-1.766693115234375
279,-2.327196502685547,-1.7533817887306213
280,-2.314900004863739,-1.7663400769233704
281,-2.3310502648353575,-1.782279133796692
282,-2.33617844581604,-1.7518850564956665
283,-2.323055613040924,-1.7308886647224426
284,-2.32099928855896,-1.7806424498558044
285,-2.3347304701805114,-1.767666757106781
286,-2.320150947570801,-1.793017029762268
287,-2.3366859912872315,-1.78048574924469
288,-2.3459362506866457,-1.7681066393852234
289,-2.339517664909363,-1.7664495706558228
290,-2.3265639901161195,-1.7941628694534302
291,-2.344008278846741,-1.7734047770500183
292,-2.3502787590026855,-1.7503636479377747
293,-2.3456788897514342,-1.7406140565872192
294,-2.3331133365631103,-1.7308091521263123
295,-2.3316477060317995,-1.751089096069336
296,-2.347403275966644,-1.7509076595306396
297,-2.351803886890411,-1.7521121501922607
298,-2.3442737460136414,-1.751924455165863
299,-2.3504402160644533,-1.753848910331726
300,-2.3599552631378176,-1.744542419910431
301,-2.3523074626922607,-1.7314509749412537
302,-2.345151734352112,-1.7743420600891113
303,-2.353458273410797,-1.7454141974449158
304,-2.3517664432525636,-1.7208346128463745
305,-2.3578431487083433,-1.7161139845848083
306,-2.359107863903046,-1.7408087849617004
307,-2.359409308433533,-1.747397541999817
308,-2.3631185412406923,-1.761424720287323
309,-2.3619312763214113,-1.7738696932792664
310,-2.3595502972602844,-1.7630059123039246
311,-2.360782492160797,-1.7487468123435974
312,-2.353928637504578,-1.7371702194213867
313,-2.35174697637558,-1.7327747344970703
314,-2.3759288787841797,-1.7239869236946106
315,-2.3764663457870485,-1.7224586606025696
316,-2.3573448777198793,-1.7441006302833557
317,-2.359458589553833,-1.7573402523994446
318,-2.357475984096527,-1.7727402448654175
319,-2.3598530888557434,-1.7560139894485474
320,-2.3615952253341677,-1.7210083603858948
321,-2.3706077933311462,-1.6973408460617065
322,-2.380481553077698,-1.6939213275909424
323,-2.377808380126953,-1.7049130201339722
324,-2.364241600036621,-1.694130301475525
325,-2.374547374248505,-1.697679579257965
326,-2.370819890499115,-1.715023934841156
327,-2.367176115512848,-1.7136476039886475
328,-2.366769003868103,-1.6992153525352478
329,-2.3669673919677736,-1.708565354347229
330,-2.373934066295624,-1.7180209755897522
331,-2.381822955608368,-1.7103685140609741
332,-2.383887302875519,-1.717320442199707
333,-2.379701113700867,-1.7103208303451538
334,-2.3722893238067626,-1.719756305217743
335,-2.374894404411316,-1.734054148197174
336,-2.37670841217041,-1.714551329612732
337,-2.3714161276817323,-1.7339776754379272
338,-2.3858060956001284,-1.6973631978034973
339,-2.3835809350013735,-1.6864781975746155
340,-2.3884716987609864,-1.6850038766860962
341,-2.399164390563965,-1.6733538508415222
342,-2.395308530330658,-1.6822822093963623
343,-2.3871607899665834,-1.6944574117660522
344,-2.3862780928611755,-1.7118736505508423
345,-2.391104817390442,-1.692049264907837
346,-2.3996893525123597,-1.676954984664917
347,-2.3949349403381346,-1.6667970418930054
348,-2.388327491283417,-1.636775255203247
349,-2.3896759271621706,-1.65252286195755
350,-2.3957274556159973,-1.6584601998329163
351,-2.3969061851501463,-1.6708114743232727
352,-2.4008690118789673,-1.6374563574790955
353,-2.403670907020569,-1.6487724781036377
354,-2.3984233260154726,-1.6487194895744324
355,-2.3946229219436646,-1.6555023789405823
356,-2.3940836429595946,-1.6444365978240967
357,-2.383917236328125,-1.6577396988868713
358,-2.381613087654114,-1.660322666168213
359,-2.3932028293609617,-1.6619620323181152
360,-2.3928128123283385,-1.6803627610206604
361,-2.388922703266144,-1.7060211300849915
362,-2.3885116457939146,-1.6829087734222412
363,-2.3974419713020323,-1.669828176498413
364,-2.411335301399231,-1.6657017469406128
365,-2.4050119519233704,-1.6372498273849487
366,-2.397672379016876,-1.6184628009796143
367,-2.407747542858124,-1.6178919672966003
368,-2.415930712223053,-1.6107341051101685
369,-2.4071877241134643,-1.6238549947738647
370,-2.40374299287796,-1.611163079738617
371,-2.407025408744812,-1.6206420063972473
372,-2.411041331291199,-1.614848017692566
373,-2.4118757963180544,-1.5941720008850098
374,-2.4127394556999207,-1.60783851146698
375,-2.4186768889427186,-1.6043041348457336
376,-2.414377474784851,-1.6288893818855286
377,-2.4196443915367127,-1.6329299211502075
378,-2.4254584670066834,-1.6404541730880737
379,-2.42601193189621,-1.6156153678894043
380,-2.419445526599884,-1.609141230583191
381,-2.4275540471076966,-1.6165236830711365
382,-2.43025689125061,-1.619540810585022
383,-2.421223056316376,-1.631271779537201
384,-2.419128215312958,-1.6318932175636292
385,-2.410514545440674,-1.640445053577423
386,-2.425408399105072,-1.6098496913909912
387,-2.4154839634895326,-1.5870143175125122
388,-2.4123090624809267,-1.6110962629318237
389,-2.4251426815986634,-1.6117351651191711
390,-2.4298407077789306,-1.5629292726516724
391,-2.423787224292755,-1.5644877552986145
392,-2.434331715106964,-1.5785462856292725
393,-2.4354176044464113,-1.5781186819076538
394,-2.4322567224502563,-1.5761463046073914
395,-2.4404422998428346,-1.547295331954956
396,-2.444378685951233,-1.5605257153511047
397,-2.4353544116020203,-1.5591880083084106
398,-2.4247227191925047,-1.5740690231323242
399,-2.4253500580787657,-1.543865978717804
400,-2.4262397050857545,-1.5653537511825562
401,-2.4358798384666445,-1.5869158506393433
402,-2.4474928975105286,-1.5401359796524048
403,-2.4400397658348085,-1.52866530418396
404,-2.4383344888687133,-1.5750337839126587
405,-2.448308062553406,-1.5428085923194885
406,-2.440390181541443,-1.5283536314964294
407,-2.4406381249427795,-1.5123988389968872
408,-2.4436931848526,-1.504944920539856
409,-2.426133632659912,-1.4843961000442505
410,-2.4135074615478516,-1.5306396484375
411,-2.4329691171646117,-1.5118358135223389
412,-2.4253465294837953,-1.5246243476867676
413,-2.4328375101089477,-1.5609103441238403
414,-2.4457476496696473,-1.535270631313324
415,-2.443407440185547,-1.545775830745697
416,-2.4451136469841,-1.550154983997345
417,-2.4508289337158202,-1.5237951874732971
418,-2.4535606503486633,-1.5067992806434631
419,-2.4383131146430967,-1.523666799068451
420,-2.442968213558197,-1.5297142267227173
421,-2.447954332828522,-1.4928507208824158
422,-2.444429576396942,-1.4973477125167847
423,-2.450666296482086,-1.5192716121673584
424,-2.4490962386131288,-1.4961334466934204
425,-2.4412400126457214,-1.4966890811920166
426,-2.457113516330719,-1.4932161569595337
427,-2.4528749704360964,-1.492544949054718
428,-2.4504546999931334,-1.4914064407348633
429,-2.453264367580414,-1.4733254313468933
430,-2.45837322473526,-1.4380005598068237
431,-2.454535126686096,-1.4249494671821594
432,-2.454551112651825,-1.4573194980621338
433,-2.461792254447937,-1.456881821155548
434,-2.4555683970451354,-1.4359732866287231
435,-2.451440703868866,-1.4809989929199219
436,-2.4560913324356077,-1.5118451118469238
437,-2.4547852754592894,-1.5086471438407898
438,-2.459666383266449,-1.4900647401809692
439,-2.466658818721771,-1.4793757796287537
440,-2.4547433614730836,-1.523312747478485
441,-2.462160384654999,-1.5044245719909668
442,-2.4789291620254517,-1.4547255039215088
443,-2.474366641044617,-1.4539028406143188
444,-2.468526780605316,-1.464767336845398
445,-2.4650702714920043,-1.4545015096664429
446,-2.4678877711296083,-1.467384934425354
447,-2.479164922237396,-1.4641473293304443
448,-2.4790624022483825,-1.4598950743675232
449,-2.479041540622711,-1.4271987676620483
450,-2.4770994901657106,-1.4065213799476624
451,-2.474879467487335,-1.4394896626472473
452,-2.470145273208618,-1.4555810689926147
453,-2.4725360751152037,-1.4590921998023987
454,-2.474687933921814,-1.4473935961723328
455,-2.475954031944275,-1.4298506379127502
456,-2.476593828201294,-1.438429594039917
457,-2.4779031753540037,-1.4221158027648926
458,-2.476663279533386,-1.4340972304344177
459,-2.4843475818634033,-1.4400388598442078
460,-2.4850130796432497,-1.4093561172485352
461,-2.481710147857666,-1.417514443397522
462,-2.490499746799469,-1.402000367641449
463,-2.4887139797210693,-1.3867471814155579
464,-2.4831998467445375,-1.3966745138168335
465,-2.4881837129592896,-1.4115895628929138
466,-2.484749972820282,-1.4052847027778625
467,-2.4848058938980104,-1.4006901979446411
468,-2.486960220336914,-1.42186439037323
469,-2.4869556427001953,-1.406937837600708
470,-2.4848556876182557,-1.3957070112228394
471,-2.486703896522522,-1.4056785106658936
472,-2.49592707157135,-1.3913952112197876
473,-2.4941471934318544,-1.3738064765930176
474,-2.4901700139045717,-1.381919264793396
475,-2.4977555155754088,-1.3843393325805664
476,-2.496592128276825,-1.3681753873825073
477,-2.491797947883606,-1.3662219047546387
478,-2.4920005440711974,-1.3708807229995728
479,-2.4990240216255186,-1.370155394077301
480,-2.499013066291809,-1.3685216903686523
481,-2.49546674489975,-1.3706133365631104
482,-2.4922371029853823,-1.3592121601104736
483,-2.4966018199920654,-1.3598551750183105
484,-2.498706328868866,-1.352198302745819
485,-2.4977904677391054,-1.3673243522644043
486,-2.4973403930664064,-1.3734471797943115
487,-2.501824450492859,-1.3631923198699951
488,-2.500383508205414,-1.3513779044151306
489,-2.498732030391693,-1.3404487371444702
490,-2.5040457606315614,-1.3546083569526672
491,-2.506006968021393,-1.3433349132537842
492,-2.50484436750412,-1.3160282373428345
493,-2.503389811515808,-1.3274438381195068
