epoch,train_nll_per_dim,val_nll_per_dim
0,-1.1839381337165833,-1.290994942188263
1,-1.233084398508072,-1.3632970452308655
2,-1.3106724798679352,-1.4302909970283508
3,-1.3666556894779205,-1.482437252998352
4,-1.4115519046783447,-1.5192500352859497
5,-1.4457698702812194,-1.5386064648628235
6,-1.472959864139557,-1.5708630681037903
7,-1.503656029701233,-1.5957921743392944
8,-1.5251063704490662,-1.6117562651634216
9,-1.5516180992126465,-1.6282278299331665
10,-1.5730878710746765,-1.6495616436004639
11,-1.5936758637428283,-1.6651058197021484
12,-1.6159008204936982,-1.6829760670661926
13,-1.6366576373577117,-1.7032479643821716
14,-1.6557198762893677,-1.709423542022705
15,-1.6639900743961333,-1.7128837704658508
16,-1.6778648495674133,-1.723306953907013
17,-1.6974066972732544,-1.7512900829315186
18,-1.7173218846321106,-1.751494824886322
19,-1.7313448190689087,-1.7647877931594849
20,-1.740082746744156,-1.7724872827529907
21,-1.747221875190735,-1.7803348898887634
22,-1.7624393284320832,-1.777313768863678
23,-1.7737024664878844,-1.7773846983909607
24,-1.7742363870143891,-1.798411786556244
25,-1.7921938121318817,-1.8075565695762634
26,-1.799032735824585,-1.7999862432479858
27,-1.7962699353694915,-1.8167629837989807
28,-1.8153729140758514,-1.8080507516860962
29,-1.8264265656471252,-1.81768137216568
30,-1.8315188586711884,-1.8128177523612976
31,-1.8368294656276702,-1.8246328234672546
32,-1.8458138287067414,-1.8276793360710144
33,-1.8566166877746582,-1.847233235836029
34,-1.8616898655891418,-1.8218681812286377
35,-1.86474050283432,-1.83808171749115
36,-1.871334320306778,-1.8368650674819946
37,-1.8774871528148651,-1.8352379202842712
38,-1.8738164186477662,-1.847577452659607
39,-1.8845644116401672,-1.851449728012085
40,-1.8953664243221282,-1.8762072324752808
41,-1.9052291572093965,-1.8561457395553589
42,-1.8997160196304321,-1.8516947031021118
43,-1.9060750305652618,-1.872015655040741
44,-1.9104902923107148,-1.8716579675674438
45,-1.9093392014503479,-1.877691626548767
46,-1.9180571377277373,-1.8665062189102173
47,-1.9301973581314087,-1.886427879333496
48,-1.9390144884586333,-1.8959217071533203
49,-1.9488398373126983,-1.8823514580726624
50,-1.9476204335689544,-1.8936713933944702
51,-1.9549589216709138,-1.8913133144378662
52,-1.9580328643321991,-1.8846152424812317
53,-1.9601939976215363,-1.8893372416496277
54,-1.9593807756900787,-1.88172048330307
55,-1.9569417119026185,-1.891772747039795
56,-1.9640149474143982,-1.8872930407524109
57,-1.9673008918762207,-1.8919733762741089
58,-1.9806527614593505,-1.891005277633667
59,-1.9871119678020477,-1.8923993706703186
60,-1.988726395368576,-1.8806732296943665
61,-1.9787899851799011,-1.8925131559371948
62,-1.9721167802810669,-1.9016134142875671
